Age,Workclass,Education,Marital Status,Occupation,Race,Sex,Hours/Week,Native Country,Yearly Income
40,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
62,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
43,Private,Bachelors,Divorced,Exec-managerial,White,Male,45,United-States,>50K
57,Private,Bachelors,Divorced,Exec-managerial,White,Female,45,United-States,>50K
40,State-gov,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Male,38,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Female,6,United-States,>50K
35,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,40,United-States,>50K
25,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
52,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
50,State-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
41,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,65,United-States,>50K
46,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
35,Private,12th,Divorced,Craft-repair,White,Male,50,United-States,>50K
32,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
63,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
30,Private,Assoc-acdm,Married-civ-spouse,Other-service,White,Female,25,United-States,>50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
45,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,White,Male,55,United-States,>50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,White,Female,40,United-States,>50K
40,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,40,United-States,>50K
49,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
30,Private,Bachelors,Married-civ-spouse,Tech-support,White,Female,16,United-States,>50K
60,Private,Some-college,Never-married,Prof-specialty,White,Male,40,United-States,>50K
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
34,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
38,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,80,United-States,>50K
50,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
37,Local-gov,Some-college,Married-civ-spouse,Tech-support,White,Male,45,United-States,>50K
44,Private,Some-college,Divorced,Machine-op-inspct,White,Male,58,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
41,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Female,50,United-States,>50K
67,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,48,United-States,>50K
33,Federal-gov,Assoc-voc,Divorced,Craft-repair,Black,Female,40,United-States,>50K
54,Private,Bachelors,Married-civ-spouse,Sales,White,Male,35,United-States,>50K
47,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
52,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
29,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
52,Private,10th,Married-civ-spouse,Craft-repair,White,Male,47,United-States,>50K
60,Private,7th-8th,Never-married,Transport-moving,White,Male,48,United-States,>50K
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,Canada,>50K
42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
51,Private,Masters,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
46,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
34,Private,HS-grad,Married-civ-spouse,Sales,White,Male,45,United-States,>50K
33,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
49,Private,Bachelors,Married-civ-spouse,Sales,White,Male,26,United-States,>50K
43,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,60,United-States,>50K
30,Private,Bachelors,Married-civ-spouse,Adm-clerical,Black,Female,40,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
36,Private,Some-college,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
50,Self-emp-inc,Doctorate,Separated,Prof-specialty,White,Male,40,United-States,>50K
30,State-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
35,Private,Doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,Taiwan,>50K
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K
44,Self-emp-not-inc,12th,Married-civ-spouse,Handlers-cleaners,Black,Male,40,United-States,>50K
42,Private,Assoc-acdm,Divorced,Prof-specialty,White,Female,40,United-States,>50K
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Black,Male,40,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,40,Portugal,>50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
35,Private,Masters,Never-married,Prof-specialty,White,Male,60,United-States,>50K
31,Private,Masters,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
46,Private,Doctorate,Divorced,Prof-specialty,White,Female,65,United-States,>50K
44,Private,Bachelors,Divorced,Exec-managerial,White,Female,50,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
50,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,42,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
42,Private,Masters,Never-married,Exec-managerial,White,Female,50,United-States,>50K
42,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
55,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
29,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
54,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
46,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,>50K
59,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,38,United-States,>50K
53,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,70,United-States,>50K
51,Private,Bachelors,Never-married,Sales,White,Male,55,United-States,>50K
37,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,Female,24,United-States,>50K
43,Private,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
40,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
40,Private,Bachelors,Never-married,Sales,Other,Female,55,United-States,>50K
48,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,50,United-States,>50K
60,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,60,United-States,>50K
46,Private,Masters,Never-married,Tech-support,White,Male,35,United-States,>50K
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,England,>50K
32,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,48,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,47,United-States,>50K
64,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
56,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,50,United-States,>50K
47,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,50,United-States,>50K
57,Private,HS-grad,Widowed,Transport-moving,White,Male,42,United-States,>50K
53,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,>50K
41,Private,Bachelors,Divorced,Prof-specialty,White,Female,50,United-States,>50K
51,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
55,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
61,Private,Masters,Widowed,Prof-specialty,White,Female,40,United-States,>50K
48,State-gov,Doctorate,Divorced,Prof-specialty,White,Male,50,United-States,>50K
59,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,40,United-States,>50K
49,Private,Bachelors,Never-married,Exec-managerial,White,Female,56,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
71,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,40,China,>50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
39,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K
32,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,Philippines,>50K
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Farming-fishing,White,Male,65,United-States,>50K
30,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
39,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
67,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,40,United-States,>50K
51,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
37,Private,11th,Married-civ-spouse,Machine-op-inspct,White,Male,44,United-States,>50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,99,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
31,Private,Bachelors,Never-married,Sales,White,Male,40,United-States,>50K
38,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
36,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,45,United-States,>50K
44,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
43,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,43,United-States,>50K
44,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,70,United-States,>50K
33,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
42,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
35,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,40,India,>50K
34,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,35,United-States,>50K
67,Private,Bachelors,Widowed,Exec-managerial,White,Male,40,United-States,>50K
40,State-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,35,United-States,>50K
45,Local-gov,HS-grad,Widowed,Protective-serv,White,Male,40,United-States,>50K
47,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,50,United-States,>50K
56,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
48,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,58,United-States,>50K
39,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
50,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,65,United-States,>50K
38,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
39,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,52,United-States,>50K
50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K
42,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,44,United-States,>50K
33,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,Female,40,United-States,>50K
48,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,35,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,40,Canada,>50K
30,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
52,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,White,Male,55,United-States,>50K
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,47,United-States,>50K
49,Private,Some-college,Married-civ-spouse,Sales,White,Male,80,United-States,>50K
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,80,United-States,>50K
38,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,50,United-States,>50K
48,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,46,United-States,>50K
43,State-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
41,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
42,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,52,United-States,>50K
41,Federal-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
44,Self-emp-not-inc,Bachelors,Never-married,Sales,White,Male,50,United-States,>50K
29,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Female,25,United-States,>50K
45,Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,60,United-States,>50K
34,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Female,25,United-States,>50K
41,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
35,Self-emp-inc,Masters,Married-civ-spouse,Sales,White,Male,45,Mexico,>50K
33,Private,Bachelors,Married-civ-spouse,Sales,White,Female,45,United-States,>50K
58,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
35,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,50,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,50,Jamaica,>50K
46,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
35,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,60,United-States,>50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,44,United-States,>50K
61,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,35,United-States,>50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
46,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
28,State-gov,Masters,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
54,Private,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
50,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
65,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,20,United-States,>50K
25,Private,Masters,Married-civ-spouse,Farming-fishing,White,Male,99,United-States,>50K
50,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,48,United-States,>50K
40,Private,Bachelors,Divorced,Exec-managerial,White,Female,45,United-States,>50K
48,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
45,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,80,United-States,>50K
30,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
44,Private,Bachelors,Never-married,Other-service,White,Male,40,United-States,>50K
61,Self-emp-inc,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,42,United-States,>50K
44,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
54,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,40,United-States,>50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
46,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
35,Private,Masters,Never-married,Prof-specialty,White,Male,45,United-States,>50K
65,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,59,United-States,>50K
54,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
51,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
43,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
53,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,48,United-States,>50K
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
51,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
46,Private,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
67,Private,Bachelors,Married-civ-spouse,Protective-serv,White,Male,7,United-States,>50K
42,Federal-gov,Assoc-acdm,Divorced,Prof-specialty,Asian-Pac-Islander,Female,40,Philippines,>50K
50,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,>50K
47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,>50K
58,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,White,Female,40,United-States,>50K
37,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,43,United-States,>50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Female,40,United-States,>50K
32,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,50,Canada,>50K
35,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
41,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
48,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,45,United-States,>50K
27,Private,HS-grad,Never-married,Sales,White,Male,50,United-States,>50K
55,Private,Some-college,Married-civ-spouse,Transport-moving,White,Male,24,United-States,>50K
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
52,Private,HS-grad,Widowed,Other-service,Asian-Pac-Islander,Female,40,India,>50K
51,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
61,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,Germany,>50K
